"","digital_spend_alphas","digital_spend_gammas","digital_spend_thetas","nps_score_alphas","nps_score_gammas","nps_score_thetas","radio_spend_alphas","radio_spend_gammas","radio_spend_thetas","search_spend_alphas","search_spend_gammas","search_spend_thetas","social_spend_alphas","social_spend_gammas","social_spend_thetas","tv_spend_alphas","tv_spend_gammas","tv_spend_thetas","train_size","tv_spend_inflexion","digital_spend_inflexion","social_spend_inflexion","search_spend_inflexion","radio_spend_inflexion","nps_score_inflexion","tv_spend_inflation","digital_spend_inflation","social_spend_inflation","search_spend_inflation","radio_spend_inflation","nps_score_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",1.424734675,0.68002785401,0.15906088768,1.3269336335,0.53936820376,0.35372460512,1.5852782985,0.62682581645,0.56813936072,1.5677083005,0.62027432185,0.2357731976,1.46553746975,0.78472952605,0.2030757739,1.63842299825,0.62130028028,0.56504328445,0.73465859036,37905.7435715816,18235.2315681865,10755.6962054897,7701.02995009059,4822.09398049208,51.3765903743951,2.27506789419622,1.1862709929567,1.25341128612473,1.30534334113274,2.28626703015694,1.54176661818944,-0.112516869089363,-0.149361396861339,-0.417034207676386,0.212759865452418,0.265066321066394,0.269709935643209,0.265066321066394,0.258759246714277,0,95561.5803013741,0.4201839428,227396.58932533,1e-04,0,0.0726029872894287,0.20340633392334,"1_2_1",1,2,1,5,FALSE,TRUE,9,0.212268003036508,5,FALSE
"2",1.08518847875,0.57209193648,0.30740753557,1.273694793,0.5940420707,0.31743948484,2.15520362425,0.83676784259,0.4549461424,1.677675065,0.69102262808,0.1738985723,2.098310013,0.77315721313,0.30899399044,1.418209071,0.66239209202,0.57659122065,0.69150454508,40895.7272495218,16370.4546038876,11368.0378500942,8351.29977143936,5601.97612265911,54.49037264315,2.33565629616469,1.43638662698937,1.44420407652451,1.20843640499847,1.8192953710103,1.46071673434749,-0.128582617838689,-0.175213563162549,-0.326644256787773,0.216922072131442,0.247116681211624,0.265076381596857,0.247116681211624,0.23413995753183,0,104834.242458441,0.460965511,227396.58932533,1e-04,0,0.062380313873291,0.413318395614624,"1_4_2",1,4,2,14,FALSE,TRUE,3,0.201167746713754,3,FALSE
"3",1.767022767,0.62408372801,0.23591468197,1.327460156,0.92526211972,0.36866861752,1.82637689325,0.71571801439,0.51182048752,2.38291055275,0.73365172235,0.21409557458,1.3724639195,0.63047585193,0.26521179523,1.08871513525,0.5247895769,0.48455118025,0.69883388234,29832.6908465278,17249.0119703695,8976.82998977691,9016.69517759752,5118.94498861847,89.5861650933548,1.92642426651094,1.30381969105947,1.35872920029703,1.26966830039832,2.02735144797281,1.57781489281553,-0.0898080570402457,-0.128191620495115,-0.25908070320639,0.213163122325882,0.248051263684998,0.256610386009867,0.248051263684998,0.266201052968116,0,76702.7784346665,0.3372421186,227396.58932533,1e-04,0,0.063861608505249,0.419721841812134,"1_4_3",1,4,3,15,FALSE,TRUE,5,0.18229583911504,5,FALSE
"4",2.00247664475,0.61004793533,0.16848474799,1.1022989995,0.46664455591,0.28953852256,1.22226759775,0.78909517706,0.46466134764,1.70796678425,0.86058849238,0.18103716846,1.8087720775,0.73805822095,0.17866352062,1.2178671515,0.61686527572,0.54808754415,0.70147458032,37017.3129979847,16414.3720858513,9997.04471530135,10429.7186952887,5340.46929750103,41.6532444792857,2.19157019926274,1.19952486652791,1.21636087446657,1.21887453988882,1.85175416798845,1.40394893533966,-0.141545143762793,-0.186943448047207,-0.335489068581206,0.217051472900916,0.256926396669988,0.266411800029929,0.256926396669988,0.240787267798891,0,122187.380422479,0.5372853604,227396.58932533,1e-04,0,0.0653941631317139,1.05608868598938,"1_10_3",1,10,3,39,FALSE,TRUE,6,0.204312146355554,4,FALSE
"5",1.767022767,0.62408372801,0.23591468197,1.327460156,0.92526211972,0.36866861752,1.82637689325,0.71571801439,0.51182048752,2.38291055275,0.73365172235,0.21409557458,1.3724639195,0.63047585193,0.26521179523,1.08871513525,0.5247895769,0.48455118025,0.69883388234,29832.6908465278,17249.0119703695,8976.82998977691,9016.69517759752,5118.94498861847,89.5861650933548,1.92642426651094,1.30381969105947,1.35872920029703,1.26966830039832,2.02735144797281,1.57781489281553,-0.101096792157533,-0.138004855264764,-0.267470321156751,0.214264299076991,0.249127727505981,0.257463901081209,0.249127727505981,0.266777793240866,0,83570.7001513615,0.3674475346,227396.58932533,1e-04,0,0.0750250816345215,1.2805962562561,"1_12_1",1,12,1,45,FALSE,TRUE,7,0.184283262989123,NA,NA
"6",1.93390112575,0.60404650486,0.38648598433,1.43833916525,0.85969543917,0.16472251824,2.109867944,0.89638933235,0.51599616004,1.414230412,0.80848602546,0.21014054794,2.08437778525,0.33769348156,0.114070001578,2.59488015125,0.98046576759,0.3183588455,0.63899935019,50285.6729068129,18151.1723513562,4441.98433792642,9918.87414840621,6444.04723964242,68.9611508825871,1.46261152222721,1.61866989102021,1.1281151400517,1.26336913602714,2.04451906773203,1.19588266225984,0.796704522388426,0.345776175018344,0.236415709392148,0.0895407058935368,0.171345458439162,0.192737982887997,0.171345458439162,0.461816987588977,0,9993.19962777887,0.04385051308,227396.58932533,1e-04,0,0.0744748115539551,1.30238389968872,"1_12_4",1,12,4,48,FALSE,TRUE,2,0.104139733534037,6,FALSE
"7",2.240167059,0.57487834591,0.29000179675,1.41572495175,0.76567266116,0.19970808984,2.02788749675,0.88472987524,0.50664301152,1.28553774075,0.82250751084,0.1866799744,2.05895702525,0.66204345254,0.30028329139,2.33108734425,0.9044751272,0.34877906413,0.67526843441,47132.3745446415,16300.1513237739,9668.96122574,9990.83222915812,6288.05786965567,63.1476970032312,1.53011768004871,1.40167326190627,1.42635440313637,1.22725434135074,2.00646139725548,1.24773779349151,0.25252056640444,0.0443797390190764,-0.0115098978652226,0.175160458383232,0.199668824815464,0.231224313206299,0.199668824815464,0.430372648304823,0,15595.9106447541,0.06849147784,227396.58932533,1e-04,0,0.0700106620788574,1.65712761878967,"1_15_4",1,15,4,60,FALSE,TRUE,5,0.149550653651979,6,FALSE
"8",1.008753374,0.47754891931,0.15147337888,0.97270465475,0.62600131431,0.29882522836,1.934297248,0.54587452834,0.48093707476,1.6376116375,0.64750020529,0.15466878224,2.0461113045,0.64460143809,0.19186560988,2.0703399585,0.83409375495,0.61501083745,0.69897384626,53790.6590198188,12771.3825352612,8786.72705125459,7769.51397114604,3763.60370145736,56.3780865845924,2.56259014530274,1.17581210014137,1.23612173035878,1.18119021117531,1.90881070128892,1.4223491308538,-0.121175566549092,-0.153943223724955,-0.280456898122748,0.216209054797251,0.250866245185436,0.258779534943625,0.250866245185436,0.261632720676835,0,97689.7988293926,0.4295439397,227396.58932533,1e-04,0,0.07269287109375,1.77882409095764,"1_16_4",1,16,4,64,FALSE,TRUE,8,0.187135763547682,5,FALSE
"9",1.16570429175,0.55036822965,0.27883247815,1.32815380175,0.66559256671,0.33503511332,2.05110075125,0.8454349852,0.4528066628,1.73153445175,0.56907976809,0.19001340932,0.9458925465,0.49976216652,0.15602389189,1.221226524,0.88263312765,0.4249950128,0.67476842978,48112.3442234682,15517.7027028806,6697.95393208861,6921.92321322815,5646.60924156568,62.1595064080288,1.73000435508175,1.3802731320373,1.1839033691586,1.23225912814656,1.81229981049431,1.49893118237641,-0.0626624301898941,-0.276426692140188,-0.264635693858931,0.208849823431891,0.230762654465995,0.258542025853341,0.230762654465995,0.470110357440455,0,59988.9316530411,0.2637338994,227396.58932533,1e-04,0,0.0658712387084961,1.99962306022644,"1_18_4",1,18,4,72,FALSE,TRUE,6,0.212148763644218,5,FALSE
"10",2.590732975,0.58188370042,0.3172645285,1.3376701835,0.67363766167,0.28395994216,2.103303625,0.85315026928,0.4773432642,1.598093392,0.72801476508,0.18600084758,2.11584065375,0.77649119175,0.28904346274,1.38782273825,0.71527406214,0.57123976355,0.67615224911,43915.3761268558,16741.1177926786,11245.1223823936,8840.61197575028,5857.84916292234,59.8128403385745,2.3071843246655,1.45682343121437,1.40396214494103,1.22623970003852,1.89591141393307,1.39312218813156,-0.0270774740126556,-0.236644002387662,-0.230420090726958,0.205323212805268,0.227138072001881,0.255020525701308,0.227138072001881,0.277096265835804,0,48563.49147717,0.2134843206,227396.58932533,1e-04,0,0.0697269439697266,2.2165744304657,"1_20_4",1,20,4,80,FALSE,TRUE,3,0.179108568656961,2,FALSE
